steamLink,title_en,title_zh,title_ja
https://store.steampowered.com/app/1631670/_/,倒轉方舟,倒轉方舟,倒轉方舟
https://store.steampowered.com/app/1425000/_/,無盡愛麗絲,無盡愛麗絲,無盡愛麗絲
https://store.steampowered.com/app/2957670/_/,THE TAG-ALONG OBSESSION,愿 紅衣小女孩,愿 紅衣小女孩
https://store.steampowered.com/app/2598800/___Psionic_Sentry__Infinite/,靈能哨衛 : 無限 Psionic Sentry : Infinite,靈能哨衛 : 無限 Psionic Sentry : Infinite,靈能哨衛 : 無限 Psionic Sentry : Infinite
https://store.steampowered.com/app/1144240/_/,MolaMolaAdventure,翻車魚冒險,マンボウの大冒険
https://store.steampowered.com/app/2692030/_/,Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍,ワルキューレスクワッド：突破せよ
https://store.steampowered.com/app/1698870/_The_Honest_Elf/,Silver Axe - The Honest Elf,銀斧 The Honest Elf,銀斧 The Honest Elf
https://store.steampowered.com/app/400910/RabiRibi/,Rabi-Ribi,Rabi-Ribi,Rabi-Ribi
https://store.steampowered.com/app/2710380/_/,Sakura And The Airyvixen,緋櫻白狐,緋桜白狐−異世界大騒乱−
https://store.steampowered.com/app/985080/_Food_Girls/,食用系少女 Food Girls,食用系少女 Food Girls,食用系少女 Food Girls
https://store.steampowered.com/app/766280/_/,夜光,夜光,夜光
https://store.steampowered.com/app/1730140/LIGHT/,LIGHT: Black Cat & Amnesia Girl,LIGHT：黑色小貓與失憶少女,LIGHT：黒猫と記憶を失った少女
https://store.steampowered.com/app/1858450/_/,QUIT TODAY,即刻離職,速攻退職
https://store.steampowered.com/app/2184010/Star_Leaping_Story/,Star Leaping Story,星躍物語Star Leaping Story,スターリーピングストーリー
https://store.steampowered.com/app/2712570/_/,奇幻村莊模擬器,奇幻村莊模擬器,奇幻村莊模擬器
https://store.steampowered.com/app/1611350/_Sunny_Cafe/,Sunny Cafe,晴天咖啡館Sunny Cafe,晴天咖啡館Sunny Cafe
https://store.steampowered.com/app/2459550/_Emberward/,Emberward,餘燼守衛 Emberward,餘燼守衛 Emberward
https://store.steampowered.com/app/2797170/HSNU/,我愛師大附中HSNU,我愛師大附中HSNU,我愛師大附中HSNU
https://store.steampowered.com/app/2400640/_/,NanoApostle,奈米使徒計劃,ナノアポスル
https://store.steampowered.com/app/1860410/Vtuber/,Master of Vtuber,Vtuber大師,Vtuber大師
https://store.steampowered.com/app/2227860/_/,XenoWorld ~The Rondeau of Astra~,異境迷走,異境迷走
https://store.steampowered.com/app/2543030/Midnight_Ramen/,Midnight Ramen,Midnight Ramen 深夜拉麵,深夜のラーメン
https://store.steampowered.com/app/1610440/_/,Minds Beneath Us,沉沒意志,Minds Beneath Us
https://store.steampowered.com/app/2623430/Dracoslayer/,Dracoslayer,滅龍者,ドラコスレイヤー
https://store.steampowered.com/app/2299750/,Patchouli's Adventure In Doll's House,帕秋莉的人偶之家大冒險,パチュリーの人形の家大冒険
https://store.steampowered.com/app/618420/_/,【NekoGakuen】《MatthiolaReverieVerse:LostIsland》,【貓咪學園】《紫月詩篇：迷途孤島》,【NekoGakuen】Matthiola Reverie Verse
https://store.steampowered.com/app/1188460/,Gravity Escape,重力逃脫,重力脱出
https://store.steampowered.com/app/811070/__Conviction/,Conviction,眼中的世界 - Conviction - ,Conviction
https://store.steampowered.com/app/2321120/Voice_Love_on_Air/,Voice Love on Air,純愛聲放送,ボイスラブ オンエア
https://store.steampowered.com/app/1977070/_/,和平締造者：光輝王女,和平締造者：光輝王女,和平締造者：光輝王女
https://store.steampowered.com/app/751320,Echo,回音,回音
https://store.steampowered.com/app/799640/Dungeon_Munchies/,Dungeon Munchies,餐癮地城,餐癮地城
https://store.steampowered.com/app/1645780/_Grayscale_Memories/,Grayscale Memories,流光記憶之灰,流光記憶の灰 Grayscale Memories
https://store.steampowered.com/app/1302850/Tails_of_Trainspot/,Tails of Trainspot,島嶼鐵道局,島々鉄道局
https://store.steampowered.com/app/2230650/TEVI/,TEVI,TEVI,TEVI
https://store.steampowered.com/app/1487270/_/,Last Command,最後指令,ラストコマンド
https://store.steampowered.com/app/1668690,Alina of the Arena,鬥技場的阿莉娜,Alina of the Arena
https://store.steampowered.com/app/1826210/_/,RelicAdventure,遺跡大冒險,遺跡大冒険
https://store.steampowered.com/app/821560/_Behind_the_Screen/,Behind the Screen,螢幕判官,螢幕判官 Behind the Screen
https://store.steampowered.com/app/1229060/Dungeon_and_Puzzles/,Dungeon and Puzzles,地城謎蹤,ダンジョンとパズル
https://store.steampowered.com/app/2013040/,Wheat Fairy of Daya,守麥精靈黛芽,小麦精霊黛芽
https://store.steampowered.com/app/1434540/Zoeti/,Zoeti,星詠之詩,Zoeti
https://store.steampowered.com/app/1668690/Alina_of_the_Arena/,Alina of the Arena,鬥技場的阿利娜,Alina of the Arena
https://store.steampowered.com/app/1156900/Output_Pasture/,Output Pasture,輸出牧場,アウトプットパスチャー
https://store.steampowered.com/app/2786360/RACING/,LOLI RACING,蘿莉RACING,ロリRACING
https://store.steampowered.com/app/2286780/_/,Aeruta,亞路塔：狐狸狐途的麵包冒險,Aeruta アルタ
https://store.steampowered.com/app/3185400/,The Ultimate Gate,窮極之門,ザ・アルティメット・ゲート
https://store.steampowered.com/app/1289990/Alans_Automaton_Workshop/,Alan's Automaton Workshop,艾倫的自動機工坊,Alan's Automaton Workshop
https://store.steampowered.com/app/1335360/Chef_Chen/,Chef Chen,大廚老陳,料理長チン
https://store.steampowered.com/app/289060/The_Emerald_Tablet/,The Emerald Tablet,The Emerald Tablet,The Emerald Tablet
https://store.steampowered.com/app/987480/_Snowdreams_lost_in_winter/,Snowdreams -lost in winter-,花落冬陽,Snowdreams -lost in winter-
https://store.steampowered.com/app/818960/TAYAL/,TAYAL,塔亞人,タイアル
https://store.steampowered.com/app/2725220,Project Aphotic,Project Aphotic,Project Aphotic
https://store.steampowered.com/app/617660/DongJin_Ricehime/,Dong-Jin Rice-hime,東津萌米,東津萌米
https://store.steampowered.com/app/1286280/_/,Pronty,棄海,棄海　忘れられた深海都市
https://store.steampowered.com/app/1504500/OPUS/,Opus: Echo of Starsong,OPUS：龍脈常歌,OPUS 星歌の響き
https://store.steampowered.com/app/1104660/MOAstray/,MO:Astray,細胞迷途,MO:Astray
https://store.steampowered.com/app/2012910/_Swallow/,Swallow,嗜憶,Swallow
https://store.steampowered.com/app/3365970/_/,Love Goal,愛情終點,愛情終點
https://store.steampowered.com/app/1126270/Neon_Tail/,Neon Tail,霓虹之尾,ネオンテール
https://store.steampowered.com/app/1967400/MasterQ/,MasterQ,MasterQ,MasterQ
https://store.steampowered.com/app/1084480/Wanna_Survive/,Wanna Survive,活屍戰棋,Wanna Survive：ゾンビ攻略
https://store.steampowered.com/app/1109570/Word_Game/,Word Game,文字遊戲,文字遊戯
https://store.steampowered.com/app/1611420/Sea_Horizon/,Sea Horizon,海平線 無盡旅程,Sea Horizon
https://store.steampowered.com/app/1523260/__Myth_of_MistLegacy/,Myth of Mist：Legacy,迷霧國度: 傳承,迷霧國度: 傳承 Myth of Mist：Legacy
https://store.steampowered.com/app/1634150/_/,Behind the Frame: The Finest Scenery,傾聽畫語: 最美好的景色,Behind the Frame: The Finest Scenery
https://store.steampowered.com/app/1619230/The_Star_Named_EOS/,The Star Named Eos,The Star Named EOS︰未曉星程,The Star Named Eos
https://store.steampowered.com/app/2580390/_/,Crossing Frontier: Fate Foretold,盡界戰線：交織的命運,Crossing Frontier: Fate Foretold
https://store.steampowered.com/app/1448350/QUANTAAR/,QUANTAAR,永恆對決,QUANTAAR
https://store.steampowered.com/app/1175720/_/,Gerritory,給地偷地,給地偷地
https://store.steampowered.com/app/1172450/Carto/,Carto,Carto,Carto
https://store.steampowered.com/app/3476790/Cozy_Aquarium/,Cozy Aquarium,休閒水族箱,心地よい水族館
https://store.steampowered.com/app/1859910/_/,活俠傳,活俠傳,活俠傳
https://store.steampowered.com/app/1406850/_/,Legend of Tianding,廖添丁 - 稀代兇賊の最期,廖添丁 - 稀代兇賊の最期
https://store.steampowered.com/app/1679220/_/,Portal Dungeon,傳送地下城,ポータルダンジョン
https://store.steampowered.com/app/2507870/_/,Mahjick - The Realm Taker,麻雀將士 - 領域爭奪者,麻雀神威：継承者の争い
https://store.steampowered.com/app/1452700/_YUROS_FANTASY_ADVENTURE/,YURO'S FANTASY ADVENTURE,宥蘿的奇幻冒險,YURO'S FANTASY ADVENTURE
https://store.steampowered.com/app/1716480/_/,Tied by your Red,繫於妳的紅絲帶,君に繋がる赤いリボン
https://store.steampowered.com/app/622910/_/,The trial of witch,夕月之花,夕月の花
https://store.steampowered.com/app/3012360/BREAKER_INITIATING/,BREAKER: INITIATING,BREAKER: INITIATING,BREAKER: INITIATING
https://store.steampowered.com/app/562410/Panty_Party/,Panty Party,胖次派對,パンティパーティー
https://store.steampowered.com/app/1343240/_/,Thymesia,Thymesia 記憶邊境,Thymesia
https://store.steampowered.com/app/1343240/_/?l=tchinese,Thymesia,記憶邊境,ティメジア
https://store.steampowered.com/app/1731070/Asterigos/?l=tchinese,Asterigos,失落迷城,Asterigos
https://store.steampowered.com/app/911220/Dusk_Diver/?l=tchinese,Dusk Diver,酉閃町,ダスクダイバー ユウセンチョウ
https://store.steampowered.com/app/1792600/Dusk_Diver_2/?l=tchinese,Dusk Diver 2,酉閃町2,ダスクダイバー ユウセンチョウ2
https://store.steampowered.com/app/537990/Heroine_Anthem_Zero_Sacrifice/,Heroine Anthem Zero,聖女之歌 ZERO 1,ヒロインアンセムZERO
https://store.steampowered.com/app/787850/ZERO_2/,Heroine Anthem Zero 2,聖女之歌ZERO 2,ヒロインアンセム ZERO 2
https://store.steampowered.com/app/1033670/Defoliation/,Defoliation,落雨落葉,落雨落葉
https://store.steampowered.com/app/1049890/Little_Witch_Nobeta/,Little Witch Nobeta,小魔女諾貝塔,リトルウィッチノベタ
https://store.steampowered.com/agecheck/app/1611430/,The Bridge Curse Road to Salvation,女鬼橋：開魂路,女鬼橋：開魂路
https://store.steampowered.com/app/2331330/2/,The Bridge Curse 2: The Extrication,女鬼橋二：釋魂路,女鬼橋2 釈魂路
https://store.steampowered.com/app/1857650/_/,DEEP FOG,霧城,DEEP FOG
https://store.steampowered.com/app/1731070/Asterigos_Curse_of_the_Stars/,Asterigos: Curse of the Stars,Asterigos：失落迷城,Asterigos: Curse of the Stars
https://store.steampowered.com/app/1343240/Thymesia/,Thymesia,記憶邊境,Thymesia
https://store.steampowered.com/app/787400/Fantasy_Versus/,Fantasy Versus,Fantasy Versus,Fantasy Versus
https://store.steampowered.com/app/724370/_Halflight/,Halflight,夕生,夕生 Halflight
https://store.steampowered.com/app/742250/OPUS/,OPUS: Rocket of Whispers,OPUS：靈魂之橋,OPUS: Rocket of Whispers
https://store.steampowered.com/app/457680/OPUS/,OPUS: The Day We Found Earth,OPUS：地球計畫,OPUS: The Day We Found Earth
https://store.steampowered.com/app/1803570/_Blue_Bird_Land_EP2/,Blue Bird Land EP.2,青鳥樂園 下篇,青鳥樂園 Blue Bird Land EP.2 下篇
https://store.steampowered.com/app/2406970/The_doll/,The doll,詭偶,詭偶
https://store.steampowered.com/app/1688100/Cat_Museum/,Cat Museum,貓博物館,Cat Museum
https://store.steampowered.com/app/966430/Neverinth/,Neverinth,永劫回廊,Neverinth
https://store.steampowered.com/app/1149510/The_Leopard_Catgirl_in_Miaoli/,The Leopard Catgirl in Miaoli,苗栗國的石虎少女,苗栗国のヤママヤ―少女
https://store.steampowered.com/app/349320/The_Rainy_Port_Keelung/,The Rainy Port Keelung,雨港基隆,The Rainy Port Keelung 雨港基隆
https://store.steampowered.com/app/513560/Hunger_Dungeon/,Hunger Dungeon,飢餓地城,ハンガーダンジョン
https://store.steampowered.com/app/1299030/HAINYA_WORLD/,Hainya World,海亞世界,ハイニャワールド